FID,district,community,facility,fac_name,type,ownership,functional,lat,long,source,source_geo,dhis2_id,geo_date,comments,x,y
823,Kono,Bunabu,Bunabu CHP,Bunabu,CHP,Government,Functional,8.422894,-11.15809,DPPI,GPS,Mcwfkuer4CE,2016, ,-11.1580899999535,8.42289400035787
824,Kono,Condama,Condama CHP,Condama,CHP,Government,Functional,8.632064,-11.20339,DPPI,GPS,MSVZiXf1pOH,2016, ,-11.2033899998486,8.63206400015355
825,Kono,Foakor,Foakor MCHP,Foakor,MCHP,Government,Functional,8.76385,-10.63001,DPPI,GPS,jm7NSJjQ6Y1,2016, ,-10.6300100001613,8.76384999987766
826,Kono,Feuror,Fueror MCHP,Fueror,MCHP,Government,Functional,8.592445,-10.6418,DPPI,GPS,iuvg1n7vpnx,2016, ,-10.6417999997701,8.59244499963705
827,Kono,Gbangadu,Gbangadu MCHP,Gbangadu,MCHP,Government,Functional,8.784121,-10.85665,DPPI,GPS,ajtYGg9jgeC,2016, ,-10.8566499997976,8.78412100028396
828,Kono,Gbongongor,Gbongongor MCHP,Gbongongor,MCHP,Government,Functional,8.8919,-10.6357,WHO,GPS,ECxLBofSYEN,2019, ,-10.635699999955,8.89189999998507
829,Kono,Gondama,Gondama MCHP,Gondama,MCHP,Government,Functional,8.43761,-11.07757,DPPI,GPS,kXF277I9s2d,2016, ,-11.0775700000554,8.43761000000154
830,Kono,Kamadu,Kamadu CHP,Kamadu,CHP,Government,Functional,8.664047,-10.97427,DPPI,GPS,G9fDQzUILNR,2016, ,-10.9742700000604,8.66404700016898
831,Kono,Kangama,Kangama CHC,Kangama,CHC,Government,Functional,8.376478,-11.057352,FMFL,GPS,css9XFV6vKz,2015, ,-11.0573520002945,8.37647800025957
832,Kono,Kenewa,Kenewa MCHP,Kenewa,MCHP,Government,Functional,8.8272,-10.791799,NEMS,GPS,da6o86eyf9h,2015, ,-10.7917990003236,8.82720000027984
833,Kono,Kensay,Kensay CHP,Kensay,CHP,Government,Functional,8.63929,-10.98792,SARA,GPS,AlsJzRFA1Bi,2017, ,-10.9879200000079,8.63928999973376
834,Kono,Kissi Bona,Kissi Bona CHP,Kissi Bona,CHP,Government,Functional,8.642534,-10.95765,DPPI,GPS,wS3jgMpZokT,2016, ,-10.9576499998475,8.64253400004412
835,Kono,Koakor,Koakor MCHP,Koakor,MCHP,Government,Functional,8.795798,-10.92649,DPPI,GPS,xhNqDCbnhIG,2016, ,-10.9264900000134,8.7957980000777
836,Kono,Koardu,Koardu CHC,Koardu,CHC,Government,Functional,8.615039,-10.58283,DPPI,GPS,i4ktZaeJ02u,2016, ,-10.5828299999045,8.61503900014981
837,Kono,Koeyor,Koeyor CHP,Koeyor,CHP,Government,Functional,8.648968,-10.94769,DPPI,GPS,rCu9i9zjaLg,2016, ,-10.9476900000934,8.64896799997325
838,Kono,Koima,Koima MCHP,Koima,MCHP,Government,Functional,8.844612,-10.775517,FMFL,GPS,pObIq6R97QC,2015, ,-10.7755170004092,8.84461200014374
839,Kono,Koindu-Kuteh,Koindu-Kuteh MCHP,Koindu-Kuteh,MCHP,Government,Functional,8.651274,-10.514031,DPPI,GPS,ptz2wTWQUIg,2016, ,-10.5140310000306,8.65127400019497
840,Kono,Kondewakoro,Kondewakoro MCHP,Kondewakoro,MCHP,Government,Functional,9.017219,-10.59541,NEMS,GPS,pnZuXz3GLrg,2015, ,-10.5954099999715,9.01721900005685
841,Kono,Kongoifeh,Kongoifeh CHP,Kongoifeh,CHP,Government,Functional,8.797914,-10.56725,DPPI,GPS,kVFLfVKih6I,2016, ,-10.5672499999874,8.79791399963142
842,Kono,Kpetema,Kpetema MCHP,Kpetema,MCHP,Government,Functional,8.95987,-10.65396,NEMS,GPS,qlCIRFr8dl5,2015, ,-10.6539600002538,8.95987000030033
843,Kono,Kunundu,Kunundu MCHP,Kunundu,MCHP,Government,Functional,8.898889,-10.681471,FMFL,GPS,CAh2UH239U4,2015, ,-10.6814709999866,8.89888900032713
844,Kono,Motema,Motema CHC,Motema,CHC,Government,Functional,8.611736,-11.02246,DPPI,GPS,zgh40LWUKjO,2016, ,-11.0224600001288,8.61173599981657
845,Kono,Ngo Town,Ngo Town CHP,Ngo Town,CHP,Government,Functional,8.573493,-11.30771,DPPI,GPS,BQe14gbWRGL,2016, ,-11.3077100001163,8.57349299980217
846,Kono,Quidadu,Quidadu MCHP,Quidadu,MCHP,Government,Functional,8.71556,-10.94774,DPPI,GPS,LTwF4gAAJvs,2016, ,-10.9477399997012,8.71555999969428
847,Kono,Saiama,Saiama CHP,Saiama,CHP,Government,Functional,8.818711,-10.61484,DPPI,GPS,Qps4DwJ8pqa,2016, ,-10.6148400002658,8.81871100001268
848,Kono,Samiquidu,Samiquidu MCHP,Samiquidu,MCHP,Government,Functional,8.694042,-11.05879,DPPI,GPS,H48QnbVQp1a,2016, ,-11.0587900000584,8.69404200023814
849,Kono,Sandia,Sandia MCHP,Sandia,MCHP,Government,Functional,8.642045,-11.268031,FMFL,GPS,wSfvKKnny01,2015, ,-11.2680310004303,8.6420449999768
850,Kono,Senjekoro,Senjekoro MCHP,Senjekoro,MCHP,Government,Functional,8.4592,-11.0992,WHO,GPS,ZSwn1AyFwUW,2019, ,-11.0992000001798,8.45920000007999
851,Kono,Sindadu,Sindadu MCHP,Sindadu,MCHP,Government,Functional,8.681774,-10.55382,DPPI,GPS,a3bAsPypgUw,2016, ,-10.5538200002927,8.68177400017004
852,Kono,Sukudu Soa,Sukudu MCHP,Sukudu,MCHP,Government,Functional,8.50415,-10.68034,NEMS,GPS,PN4A0xqLD8l,2015, ,-10.680339999991,8.50415000002255
853,Kono,Tongoro,Tongoro MCHP,Tongoro,MCHP,Government,Functional,8.611259,-10.91496,DPPI,GPS,izJwEAXLfbb,2016, ,-10.9149599998041,8.61125900030265
854,Kono,Torkpumbu,Torkpumbu MCHP,Torkpumbu,MCHP,Government,Functional,8.411762,-11.098915,FMFL,GPS,zgpKglY29C3,2015, ,-11.0989149996275,8.41176199961666
855,Kono,"Old Yengema Rd, Koidu",White House Clinic,White House,CLINIC,Government,Functional,8.64471,-10.98146,SARA,GPS,GOTj0vfkDea,2017, ,-10.9814599997791,8.64470999966682
856,Kono,Woama,Woama CHP,Woama,CHP,Government,Functional,8.551535,-10.93213,DPPI,GPS,gfNgPVMWBA6,2016, ,-10.9321300001993,8.55153499984044
857,Kono,Yekior,Yekior MCHP,Yekior,MCHP,Government,Functional,8.575852,-10.87798,DPPI,GPS,T5f5BZwnlGX,2016, ,-10.8779799995773,8.57585199977001
858,Kono,Mansundu Sandor,Mansundu MCHP,Mansundu,MCHP,Government,Functional,8.792099,-11.06689,DPPI,GPS,rozrkkZL6Cj,2016, ,-11.0668900003732,8.79209900036864
859,Kono,Mansundu Nimikoro,Mansundu CHP,Mansundu,CHP,Government,Functional,8.6847,-11.06443,NEMS,GPS,emtAILh0aQB,2015, ,-11.0644300002443,8.68470000020488
860,Kono,Njagbwema Nimikoro,Njagbwema CHC,Njagbwema,CHC,Government,Functional,8.640864,-11.14349,SARA,GPS,PMW2x4yMHf2,2017, ,-11.1434900002632,8.64086400037337
861,Kono,Yormandu,Yormandu CHC,Yormandu,CHC,Government,Functional,8.7393,-11.101829,NEMS,GPS,hBLezWjZOOO,2015,Requires Validation/Ground truthing,-11.1018290000083,8.73929999999507
862,Kono,Ngaiya,Ngaiya MCHP,Ngaiya,MCHP,Government,Functional,8.609538,-11.03945,DPPI,GPS,D3Nb0dNS28i,2016, ,-11.0394500003172,8.60953800007871
863,Kono,Gbambiadu,Gbambiadu MCHP,Gbambiadu,MCHP,Government,Functional,8.70759,-11.27061,NEMS,GPS,SP4whqmVLqB,2015, ,-11.2706099997516,8.70758999997855
864,Kono,Tefeya,Tefeya CHC,Tefeya,CHC,Government,Functional,8.706633,-11.21212,DPPI,GPS,QzNUQjW2Cqe,2016, ,-11.2121200004376,8.70663299991304
865,Kono,Njagbwema,Njagbwema CHC,Njagbwema,CHC,Government,Functional,8.627828,-10.82337,DPPI,GPS,koAm0fEY73r,2016, ,-10.8233700002253,8.62782799996228
866,Kono,Mbaoma,Mbaoma CHP,Mbaoma,CHP,Government,Functional,8.42482,-10.78593,NEMS,GPS,ouDVr95IHm0,2015, ,-10.7859300003691,8.42482000014292
867,Kono,Kanekor,Kanekor MCHP,Kanekor,MCHP,Government,Functional,8.49454,-10.88416,DPPI,GPS,lrDaXjWjUnW,2016, ,-10.8841600003836,8.49454000022087
868,Kono,Njagbwema,Njagbwema CHP,Njagbwema,CHP,Government,Functional,8.641024,-11.145488,NEMS,Village Center,SBV6N3uFfFV,2015, ,-11.1454879997713,8.64102399965793
869,Kono,Peyima,Peyima CHP,Peyima,CHP,Government,Functional,8.75801,-11.04778,DPPI,GPS,oO8wXMFw0v5,2016, ,-11.0477800004466,8.75801000036125
870,Kono,Jaiama Sewafe,Jaiama Sewafe CHC,Jaiama Sewafe,CHC,Government,Functional,8.542044,-11.24109,DPPI,GPS,Xb3ZTV0Chxz,2016, ,-11.2410900000035,8.54204400013055
871,Kono,Jaiama,United Methodist Church Nimikoro Clinic,United Methodist Church Nimikoro,CLINIC,Faith Based,Functional,8.54394,-11.09015,NEMS,GPS,e1IcSuRhsYl,2015, ,-11.0901500001224,8.54394000033079
